City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hobart,40,AU,1573960541,33,-42.88,147.33,61.0,10.29
Lagos,20,NG,1573960543,94,6.46,3.39,80.6,2.24
Saint-Augustin,5,CA,1573960544,84,45.63,-73.98,14.0,2.08
Airai,2,TL,1573960545,25,-8.93,125.41,87.51,9.17
Mataura,11,NZ,1573960546,63,-46.19,168.86,57.99,10.0
Ribeira Grande,75,PT,1573960547,68,38.52,-28.7,64.4,5.82
New Norfolk,40,AU,1573960548,33,-42.78,147.06,61.0,10.29
Albany,20,US,1573960549,41,42.65,-73.75,21.2,5.82
Rikitea,51,PF,1573960550,82,-23.12,-134.97,75.36,6.73
Hermanus,77,ZA,1573960551,88,-34.42,19.24,59.0,1.99
Ponta do Sol,47,BR,1573960552,88,-20.63,-46.0,66.69,5.17
Ganj Muradabad,0,IN,1573960553,49,26.97,80.18,71.02,10.87
Puerto Ayora,39,EC,1573960463,87,-0.74,-90.35,71.01,3.0
Hastings,89,NZ,1573960555,58,-39.64,176.84,67.5,10.49
Saurimo,47,AO,1573960556,98,-9.66,20.4,64.85,3.38
Naze,40,NG,1573960557,94,5.43,7.07,75.2,2.55
Hilo,20,US,1573960488,78,19.71,-155.08,80.6,3.36
Upernavik,100,GL,1573960559,60,72.79,-56.15,14.92,9.8
Dikson,0,RU,1573960561,87,73.51,80.55,-11.29,7.74
Qaanaaq,100,GL,1573960562,95,77.48,-69.36,6.06,5.95
Rawson,21,AR,1573960563,36,-43.3,-65.11,63.28,16.37
Honningsvag,0,NO,1573960564,79,70.98,25.97,24.8,19.46
San Juan,0,AR,1573960566,38,-31.54,-68.53,78.37,5.91
Busselton,0,AU,1573960567,32,-33.64,115.35,86.0,11.39
De-Kastri,100,RU,1573960568,84,51.48,140.77,21.09,36.84
Komsomolskiy,89,RU,1573960569,95,67.55,63.78,11.95,8.39
Jamestown,42,AU,1573960570,15,-33.21,138.6,78.57,1.36
Kruisfontein,100,ZA,1573960571,93,-34.0,24.73,56.19,14.67
Bosobolo,100,CD,1573960572,87,4.19,19.88,72.12,1.88
Bethel,90,US,1573960554,78,60.79,-161.76,8.6,17.22
Bluff,0,AU,1573960574,15,-23.58,149.07,100.08,14.76
Morondava,88,MG,1573960575,93,-20.3,44.28,74.55,3.33
Okakarara,55,NA,1573960576,33,-20.59,17.46,70.2,8.86
Sao Filipe,13,CV,1573960577,81,14.9,-24.5,72.68,14.41
Pyshchug,84,RU,1573960578,98,58.89,45.71,30.96,2.17
Laguna,75,BZ,1573960579,94,16.17,-88.94,71.6,4.7
Chicama,90,PE,1573960580,82,-7.84,-79.15,64.4,9.17
Turukhansk,37,RU,1573960581,81,65.8,87.96,-18.35,8.66
Santa Rosa,1,AR,1573960582,27,-36.62,-64.29,67.62,6.89
Shumskiy,100,RU,1573960584,62,54.83,99.13,-4.5,6.8
Kapaa,90,US,1573960585,83,22.08,-159.32,82.4,8.05
Luderitz,0,NA,1573960586,77,-26.65,15.16,62.6,19.46
Avarua,3,CK,1573960587,74,-21.21,-159.78,78.8,12.75
Omboue,100,GA,1573960588,98,-1.57,9.26,72.81,3.0
Mahebourg,40,MU,1573960589,83,-20.41,57.7,78.01,14.99
Fortuna,90,US,1573960590,100,40.6,-124.16,54.0,4.7
Haines Junction,100,CA,1573960591,97,60.75,-137.51,25.68,3.24
Port Alfred,98,ZA,1573960592,95,-33.59,26.89,64.0,3.0
Mana,6,NG,1573960593,27,13.03,5.27,76.87,3.44
Bredasdorp,96,ZA,1573960594,77,-34.53,20.04,59.0,8.05
Husavik,100,CA,1573960595,98,50.56,-96.99,33.01,7.0
Guerrero Negro,2,MX,1573960596,91,27.97,-114.04,63.37,8.77
Stephenville,75,CA,1573960597,58,48.55,-58.59,30.2,27.51
Joacaba,0,BR,1573960598,83,-27.18,-51.5,54.73,2.37
Ushuaia,75,AR,1573960437,93,-54.81,-68.31,44.6,17.22
Saint-Philippe,0,CA,1573960600,72,45.36,-73.48,16.0,3.36
Severo-Kurilsk,63,RU,1573960601,62,50.68,156.12,23.22,0.83
Thompson,90,CA,1573960602,85,55.74,-97.86,17.6,6.93
Atar,2,MR,1573960603,38,20.52,-13.05,65.08,9.24
Barrow,65,AR,1573960604,59,-38.31,-60.23,57.97,8.72
Comodoro Rivadavia,13,AR,1573960606,34,-45.87,-67.48,64.4,20.8
Dullewala,0,PK,1573960606,56,31.84,71.44,67.69,5.55
Oistins,20,BB,1573960607,94,13.07,-59.53,73.4,5.82
Radom,79,PL,1573960608,91,51.4,21.15,46.99,6.64
Khatanga,93,RU,1573960610,88,71.98,102.47,-13.16,1.14
Cherskiy,45,RU,1573960611,100,68.75,161.3,-9.17,0.6
Egvekinot,60,RU,1573960612,95,66.32,-179.17,4.41,10.33
Butembo,73,CD,1573960613,87,0.12,29.29,60.85,3.11
Toora-Khem,100,RU,1573960614,72,52.47,96.11,-12.39,4.23
Pangnirtung,10,CA,1573960615,77,66.15,-65.72,6.6,3.18
Cortes,99,PH,1573960616,67,9.28,126.19,83.66,5.82
Lyubuchany,90,RU,1573960617,86,55.25,37.55,39.2,6.71
Yellowknife,90,CA,1573960509,84,62.45,-114.38,8.01,5.82
Bambous Virieux,40,MU,1573960619,83,-20.34,57.76,78.01,14.99
San Quintin,42,PH,1573960621,65,17.54,120.52,84.07,4.81
Zhangjiakou,100,CN,1573960622,24,40.77,114.88,33.13,19.01
Cape Town,40,ZA,1573960556,62,-33.93,18.42,60.01,19.46
Mar del Plata,14,AR,1573960624,43,-46.43,-67.52,59.94,29.73
Saint-Pierre,12,FR,1573960625,94,48.95,4.24,33.01,5.82
Ilulissat,0,GL,1573960626,44,69.22,-51.1,19.4,20.8
Nikolskoye,90,RU,1573960627,93,59.7,30.79,37.99,6.71
Belyy Yar,75,RU,1573960628,84,53.6,91.39,1.4,4.47
